# authors=Abraxas1010 (IAOM / Apoth3osis); The Institute for Ontological Mathematics / Equation Capital dba Apoth3osis
# generated_by=scripts/small-step-coverage.py
# instruction_source_sha256=4cb0ec52705959906122b09d88414bfa05a81b1776eb3be3a5392e23e773543b
instruction,decoder,old_semantics,step_relation,step_function,soundness,completeness,determinism,invariant_preservation,old_new_refinement,examples,testsuite,differential_seed,milestone,notes
i64TruncSatF32S,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i64TruncSatF32U,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i64TruncSatF64S,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i64TruncSatF64U,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32DemoteF64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64PromoteF32,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i32ReinterpretF32,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
i64ReinterpretF64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f32ReinterpretI32,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
f64ReinterpretI64,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
block,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
loop,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
iff,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
br,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
br_if,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
brTable,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
ret,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
call,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
returnCall,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
returnCallIndirect,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
throwI,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
throwRef,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
tryTable,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
callRef,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
returnCallRef,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
refAsNonNull,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
brOnNull,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
